"","AS_3rd_LPS_7B4_IL10R_32_cont6_48h_6.normalized","AS_3rd_LPS_7B4_IL10R_38_cont2_48h_2.normalized","AS_3rd_LPS_7B4_IL10R_42_cont3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_46_cont4_48h_4.normalized","AS_3rd_LPS_7B4_IL10R_54_cont5_48h_5.normalized","AS_3rd_LPS_7B4_IL10R_10_mut3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_48_mut1_48h_1.normalized","AS_3rd_LPS_7B4_IL10R_8_mut2_48h_2.normalized"
"Commd7",81,82,92,80,75,85,100,93
"Commd8",185,155,173,173,204,150,102,121
"Commd9",76,74,100,67,83,58,64,63
"Comp",60,42,63,62,63,23,13,14
"Comt",339,318,340,427,467,255,124,168
"Comtd1",53,74,76,57,55,31,29,17
"Copa",147,156,150,142,138,120,155,146
"Copb1",65,62,50,53,72,78,91,90
"Copb2",62,63,65,65,73,55,99,101
"Cope",318,404,381,335,273,298,234,329
"Copg1",62,79,71,71,53,75,62,76
"Copg2",39,30,29,42,49,38,43,34
"Coprs",11,26,41,23,15,7,13,16
"Cops2",54,31,43,49,64,55,72,74
"Cops3",81,62,71,71,93,73,60,99
"Cops4",134,113,149,127,151,104,87,72
"Cops5",119,91,95,79,106,140,172,148
"Cops6",100,72,86,75,88,93,78,106
"Cops7a",114,126,146,121,116,78,90,103
"Cops7b",11,16,14,13,8,20,17,10
"Cops8",79,72,83,79,70,96,111,83
"Cops9",144,150,139,136,148,120,104,143
